"","scenario","stk_pos","stk_pos2","stock","fhist","catch_rule","TAC","options","uncertainty","perfect_knowledge","HCRmult","w","b_w","b_z","upper_constraint","lower_constraint"
"81",81,14,14,"ang-ivvi","one-way","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"82",82,14,14,"ang-ivvi","one-way","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"83",83,14,14,"ang-ivvi","one-way","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"84",84,14,14,"ang-ivvi","one-way","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"85",85,15,15,"nep-2829","one-way","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"86",86,15,15,"nep-2829","one-way","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"87",87,15,15,"nep-2829","one-way","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"88",88,15,15,"nep-2829","one-way","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"89",89,15,15,"nep-2829","one-way","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"90",90,15,15,"nep-2829","one-way","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"91",91,16,1,"her-nis","roller-coaster","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"92",92,16,1,"her-nis","roller-coaster","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"93",93,16,1,"her-nis","roller-coaster","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"94",94,16,1,"her-nis","roller-coaster","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"95",95,16,1,"her-nis","roller-coaster","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"96",96,16,1,"her-nis","roller-coaster","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"97",97,17,2,"pol-nsea","roller-coaster","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"98",98,17,2,"pol-nsea","roller-coaster","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"99",99,17,2,"pol-nsea","roller-coaster","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"100",100,17,2,"pol-nsea","roller-coaster","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"101",101,17,2,"pol-nsea","roller-coaster","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"102",102,17,2,"pol-nsea","roller-coaster","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"103",103,18,3,"lin-comb","roller-coaster","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"104",104,18,3,"lin-comb","roller-coaster","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"105",105,18,3,"lin-comb","roller-coaster","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"106",106,18,3,"lin-comb","roller-coaster","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"107",107,18,3,"lin-comb","roller-coaster","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"108",108,18,3,"lin-comb","roller-coaster","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"109",109,19,4,"smn-con","roller-coaster","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"110",110,19,4,"smn-con","roller-coaster","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"111",111,19,4,"smn-con","roller-coaster","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"112",112,19,4,"smn-con","roller-coaster","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"113",113,19,4,"smn-con","roller-coaster","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"114",114,19,4,"smn-con","roller-coaster","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"115",115,20,5,"mut-comb","roller-coaster","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"116",116,20,5,"mut-comb","roller-coaster","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"117",117,20,5,"mut-comb","roller-coaster","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"118",118,20,5,"mut-comb","roller-coaster","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"119",119,20,5,"mut-comb","roller-coaster","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"120",120,20,5,"mut-comb","roller-coaster","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"121",121,21,6,"tur-nsea","roller-coaster","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"122",122,21,6,"tur-nsea","roller-coaster","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"123",123,21,6,"tur-nsea","roller-coaster","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"124",124,21,6,"tur-nsea","roller-coaster","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"125",125,21,6,"tur-nsea","roller-coaster","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"126",126,21,6,"tur-nsea","roller-coaster","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"127",127,22,7,"lem-nsea","roller-coaster","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"128",128,22,7,"lem-nsea","roller-coaster","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"129",129,22,7,"lem-nsea","roller-coaster","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"130",130,22,7,"lem-nsea","roller-coaster","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"131",131,22,7,"lem-nsea","roller-coaster","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"132",132,22,7,"lem-nsea","roller-coaster","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"133",133,23,8,"meg-4a6a","roller-coaster","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"134",134,23,8,"meg-4a6a","roller-coaster","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"135",135,23,8,"meg-4a6a","roller-coaster","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"136",136,23,8,"meg-4a6a","roller-coaster","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"137",137,23,8,"meg-4a6a","roller-coaster","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"138",138,23,8,"meg-4a6a","roller-coaster","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"139",139,24,9,"san-ns4","roller-coaster","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"140",140,24,9,"san-ns4","roller-coaster","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"141",141,24,9,"san-ns4","roller-coaster","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"142",142,24,9,"san-ns4","roller-coaster","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"143",143,24,9,"san-ns4","roller-coaster","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"144",144,24,9,"san-ns4","roller-coaster","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"145",145,25,10,"ple-celt","roller-coaster","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"146",146,25,10,"ple-celt","roller-coaster","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"147",147,25,10,"ple-celt","roller-coaster","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"148",148,25,10,"ple-celt","roller-coaster","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"149",149,25,10,"ple-celt","roller-coaster","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"150",150,25,10,"ple-celt","roller-coaster","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"151",151,26,11,"whg-7e-k","roller-coaster","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"152",152,26,11,"whg-7e-k","roller-coaster","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"153",153,26,11,"whg-7e-k","roller-coaster","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"154",154,26,11,"whg-7e-k","roller-coaster","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"155",155,26,11,"whg-7e-k","roller-coaster","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"156",156,26,11,"whg-7e-k","roller-coaster","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"157",157,27,12,"had-iris","roller-coaster","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"158",158,27,12,"had-iris","roller-coaster","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"159",159,27,12,"had-iris","roller-coaster","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"160",160,27,12,"had-iris","roller-coaster","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"161",161,27,12,"had-iris","roller-coaster","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"162",162,27,12,"had-iris","roller-coaster","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"163",163,28,13,"ang-78ab","roller-coaster","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"164",164,28,13,"ang-78ab","roller-coaster","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"165",165,28,13,"ang-78ab","roller-coaster","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"166",166,28,13,"ang-78ab","roller-coaster","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"167",167,28,13,"ang-78ab","roller-coaster","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"168",168,28,13,"ang-78ab","roller-coaster","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"169",169,29,14,"ang-ivvi","roller-coaster","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"170",170,29,14,"ang-ivvi","roller-coaster","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"171",171,29,14,"ang-ivvi","roller-coaster","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"172",172,29,14,"ang-ivvi","roller-coaster","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"173",173,29,14,"ang-ivvi","roller-coaster","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"174",174,29,14,"ang-ivvi","roller-coaster","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"175",175,30,15,"nep-2829","roller-coaster","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"176",176,30,15,"nep-2829","roller-coaster","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"177",177,30,15,"nep-2829","roller-coaster","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"178",178,30,15,"nep-2829","roller-coaster","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"179",179,30,15,"nep-2829","roller-coaster","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"180",180,30,15,"nep-2829","roller-coaster","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"181",181,1,1,"her-nis","one-way","3.2.2",2,"","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"182",182,2,2,"pol-nsea","one-way","3.2.2",2,"","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"183",183,3,3,"lin-comb","one-way","3.2.2",2,"","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"184",184,4,4,"smn-con","one-way","3.2.2",2,"","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"185",185,5,5,"mut-comb","one-way","3.2.2",2,"","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"186",186,6,6,"tur-nsea","one-way","3.2.2",2,"","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"187",187,7,7,"lem-nsea","one-way","3.2.2",2,"","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"188",188,8,8,"meg-4a6a","one-way","3.2.2",2,"","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"189",189,9,9,"san-ns4","one-way","3.2.2",2,"","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"190",190,10,10,"ple-celt","one-way","3.2.2",2,"","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"191",191,11,11,"whg-7e-k","one-way","3.2.2",2,"","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"192",192,12,12,"had-iris","one-way","3.2.2",2,"","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"193",193,13,13,"ang-78ab","one-way","3.2.2",2,"","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"194",194,14,14,"ang-ivvi","one-way","3.2.2",2,"","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"195",195,15,15,"nep-2829","one-way","3.2.2",2,"","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"196",196,16,1,"her-nis","roller-coaster","3.2.2",2,"","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"197",197,17,2,"pol-nsea","roller-coaster","3.2.2",2,"","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"198",198,18,3,"lin-comb","roller-coaster","3.2.2",2,"","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"199",199,19,4,"smn-con","roller-coaster","3.2.2",2,"","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"200",200,20,5,"mut-comb","roller-coaster","3.2.2",2,"","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"201",201,21,6,"tur-nsea","roller-coaster","3.2.2",2,"","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
