"","scenario","ssb_below_blim_total","ssb_below_blim_iter","collapse_total","collapse_iter","fmaxed_total","fmaxed_iter","yield","rel_yield","stk_pos","stk_pos2","stock","fhist","catch_rule","TAC","options","uncertainty","perfect_knowledge","HCRmult","w","b_w","b_z","upper_constraint","lower_constraint"
"42",42,0.07502,1,0.01164,0.068,0.00138,0.062,43.1481684687379,0.270667826352175,7,7,"lem-nsea","one-way","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"43",43,0.6165,1,0,0,0,0,22.1811493807497,0.602343625867067,8,8,"meg-4a6a","one-way","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"44",44,0.99872,1,0.89546,1,0.03504,0.978,2.90782252396489,0.0789638233978538,8,8,"meg-4a6a","one-way","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"45",45,0.6018,1,0.4171,0.618,0.02076,0.61,11.8703544033994,0.322347241296519,8,8,"meg-4a6a","one-way","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"46",46,0.5391,0.996,0.45478,0.778,0.02902,0.772,11.9037499619576,0.323254119541851,8,8,"meg-4a6a","one-way","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"47",47,0.3404,0.94,0.2988,0.5,0.0172,0.5,7.3849896892283,0.198827258213251,8,8,"meg-4a6a","one-way","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"48",48,0.0716,0.992,0,0,0,0,4.0092148728963,0.108872853338987,8,8,"meg-4a6a","one-way","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"49",49,0.099,1,0.03306,0.92,0.03182,0.988,68.9900278012288,0.119650622593085,9,9,"san-ns4","one-way","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"50",50,0.46748,0.994,0.4032,0.96,0.1839,0.962,55.2798373078884,0.0958727972945606,9,9,"san-ns4","one-way","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"51",51,0.52616,1,0.46198,0.998,0.21382,1,46.5411548358218,0.080717146083076,9,9,"san-ns4","one-way","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"52",52,0.52292,0.996,0.4603,0.982,0.21126,0.984,18.8063400480226,0.0326161673963422,9,9,"san-ns4","one-way","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"53",53,0.0018,0.18,0,0,0,0,1.45539968418308e-33,2.51290811734422e-36,9,9,"san-ns4","one-way","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"54",54,0.05894,0.926,0.01422,0.584,0.01752,0.632,105.665304887693,0.183257202805119,9,9,"san-ns4","one-way","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"55",55,0.67286,1,0.32656,0.782,0.01662,0.74,37.5861552596113,0.354079067055075,10,10,"ple-celt","one-way","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"56",56,0.8609,1,0.66398,0.964,0.0334,0.95,11.1406509015831,0.104950113954795,10,10,"ple-celt","one-way","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"57",57,0.83724,1,0.67094,0.988,0.03432,0.976,10.1807053764259,0.0959069805557109,10,10,"ple-celt","one-way","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"58",58,0.79864,1,0.64782,0.914,0.03346,0.906,17.053066493613,0.160647819197804,10,10,"ple-celt","one-way","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"59",59,0.8158,1,0.6846,0.98,0.0322,0.98,4.14084637079644,0.0388110605081401,10,10,"ple-celt","one-way","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"60",60,0.07068,1,0.00796,0.024,0.00046,0.022,25.8771712274571,0.243774990630345,10,10,"ple-celt","one-way","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"61",61,0.38362,1,0.2319,0.972,0.03058,0.956,29.5344156512563,0.131041543875965,11,11,"whg-7e-k","one-way","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
